
15/11/2016 15:59:40;1;ex04.pbm;
15/11/2016 15:59:41;3;38x2;
15/11/2016 15:59:43;2;;
15/11/2016 15:59:45;1;ex07.pbm;
15/11/2016 16:43:23;2;5x3;
15/11/2016 16:43:25;3;23x3;
15/11/2016 16:43:29;3;71x10;
15/11/2016 16:43:30;3;80x17;
15/11/2016 16:43:31;2;5x3;
15/11/2016 16:43:33;2;5x3;
15/11/2016 16:43:33;2;5x3;
15/11/2016 16:43:35;1;ex02.pbm;
15/11/2016 16:43:36;1;ex09.pbm;
15/11/2016 16:43:37;2;5x3;
15/11/2016 16:43:39;1;ex02.pbm;
15/11/2016 17:00:53;1;ex04.pbm;
15/11/2016 17:00:54;1;ex04.pbm;
15/11/2016 17:00:55;1;ex07.pbm;
15/11/2016 17:00:56;3;59x17;
15/11/2016 17:00:57;3;8x10;
15/11/2016 17:00:59;1;ex01.pbm;
15/11/2016 17:01:00;1;ex09.pbm;
15/11/2016 17:01:01;3;59x17;
15/11/2016 17:01:02;3;5x23;
15/11/2016 17:01:03;2;5x3;
15/11/2016 17:01:05;3;29x4;
15/11/2016 17:01:06;2;5x3;
15/11/2016 17:03:33;3;8x24;
15/11/2016 17:03:34;2;5x3;
15/11/2016 17:04:02;2;5x3;
15/11/2016 17:04:09;1;ex08.pbm;
15/11/2016 17:04:09;3;38x5;
15/11/2016 17:04:10;3;44x15;
15/11/2016 17:04:11;2;5x3;
15/11/2016 17:04:25;1;ex02.pbm;
15/11/2016 17:04:26;1;ex10.pbm;
15/11/2016 17:04:26;2;5x3;
15/11/2016 17:04:31;2;5x3;
15/11/2016 17:05:23;2;5x3;
15/11/2016 17:06:23;1;ex01.pbm;
15/11/2016 17:06:24;2;5x3;
15/11/2016 17:07:36;1;ex04.pbm;
15/11/2016 17:07:37;1;ex02.pbm;
15/11/2016 17:07:37;3;8x13;
15/11/2016 17:07:39;1;ex06.pbm;
15/11/2016 17:07:39;3;56x10;
15/11/2016 17:07:40;2;5x3;
15/11/2016 17:09:58;1;ex09.pbm;
15/11/2016 17:09:59;3;71x11;
15/11/2016 17:10:01;2;5x3;
15/11/2016 17:17:00;3;71x16;
15/11/2016 17:17:02;1;ex07.pbm;
15/11/2016 17:17:03;1;ex09.pbm;
15/11/2016 17:17:04;1;ex02.pbm;
15/11/2016 17:17:04;2;5x3;
15/11/2016 17:18:50;1;ex10.pbm;
